"07459: Befolkning, etter region, kjønn, alder, statistikkvariabel og år"

"region";"kjønn";"alder";"Personer 2018"
"07 Vestfold";"Menn";"1 år";1261
"07 Vestfold";"Menn";"2 år";1331
"07 Vestfold";"Menn";"3 år";1325
"07 Vestfold";"Menn";"4 år";1348
"07 Vestfold";"Menn";"5 år";1428
"07 Vestfold";"Menn";"6 år";1506
"07 Vestfold";"Menn";"7 år";1587
"07 Vestfold";"Menn";"8 år";1536
"07 Vestfold";"Menn";"9 år";1574
"07 Vestfold";"Menn";"10 år";1568
"07 Vestfold";"Menn";"11 år";1588
"07 Vestfold";"Menn";"12 år";1516
"07 Vestfold";"Menn";"13 år";1607
"07 Vestfold";"Menn";"14 år";1583
"07 Vestfold";"Menn";"15 år";1474
"07 Vestfold";"Menn";"16 år";1560
"07 Vestfold";"Menn";"17 år";1652
"07 Vestfold";"Menn";"18 år";1621
"07 Vestfold";"Kvinner";"0 år";1088
"07 Vestfold";"Kvinner";"1 år";1242
"07 Vestfold";"Kvinner";"2 år";1289
"07 Vestfold";"Kvinner";"3 år";1279
"07 Vestfold";"Kvinner";"4 år";1335
"07 Vestfold";"Kvinner";"5 år";1359
"07 Vestfold";"Kvinner";"6 år";1390
"07 Vestfold";"Kvinner";"7 år";1420
"07 Vestfold";"Kvinner";"8 år";1442
"07 Vestfold";"Kvinner";"9 år";1453
"07 Vestfold";"Kvinner";"10 år";1415
"07 Vestfold";"Kvinner";"11 år";1431
"07 Vestfold";"Kvinner";"12 år";1496
"07 Vestfold";"Kvinner";"13 år";1396
"07 Vestfold";"Kvinner";"14 år";1362
"07 Vestfold";"Kvinner";"15 år";1409
"07 Vestfold";"Kvinner";"16 år";1461
"07 Vestfold";"Kvinner";"17 år";1554
"07 Vestfold";"Kvinner";"18 år";1607
"08 Telemark";"Menn";"0 år";779
"08 Telemark";"Menn";"1 år";877
"08 Telemark";"Menn";"2 år";855
"08 Telemark";"Menn";"3 år";914
"08 Telemark";"Menn";"4 år";928
"08 Telemark";"Menn";"5 år";968
"08 Telemark";"Menn";"6 år";1000
"08 Telemark";"Menn";"7 år";1051
"08 Telemark";"Menn";"8 år";1019
"08 Telemark";"Menn";"9 år";1060
"08 Telemark";"Menn";"10 år";1032
"08 Telemark";"Menn";"11 år";1047
"08 Telemark";"Menn";"12 år";1008
"08 Telemark";"Menn";"13 år";1007
"08 Telemark";"Menn";"14 år";1095
"08 Telemark";"Menn";"15 år";983
"08 Telemark";"Menn";"16 år";1132
"08 Telemark";"Menn";"17 år";1148
"08 Telemark";"Menn";"18 år";1161
"08 Telemark";"Kvinner";"0 år";728
"08 Telemark";"Kvinner";"1 år";865
"08 Telemark";"Kvinner";"2 år";809
"08 Telemark";"Kvinner";"3 år";812
"08 Telemark";"Kvinner";"4 år";904
"08 Telemark";"Kvinner";"5 år";900
"08 Telemark";"Kvinner";"6 år";933
"08 Telemark";"Kvinner";"7 år";966
"08 Telemark";"Kvinner";"8 år";970
"08 Telemark";"Kvinner";"9 år";951
"08 Telemark";"Kvinner";"10 år";950
"08 Telemark";"Kvinner";"11 år";955
"08 Telemark";"Kvinner";"12 år";996
"08 Telemark";"Kvinner";"13 år";1000
"08 Telemark";"Kvinner";"14 år";990
"08 Telemark";"Kvinner";"15 år";1013
"08 Telemark";"Kvinner";"16 år";1035
"08 Telemark";"Kvinner";"17 år";1089
"08 Telemark";"Kvinner";"18 år";1072
"09 Aust-Agder";"Menn";"0 år";586
"09 Aust-Agder";"Menn";"1 år";677
"09 Aust-Agder";"Menn";"2 år";669
"09 Aust-Agder";"Menn";"3 år";662
"09 Aust-Agder";"Menn";"4 år";677
"09 Aust-Agder";"Menn";"5 år";763
"09 Aust-Agder";"Menn";"6 år";755
"09 Aust-Agder";"Menn";"7 år";796
"09 Aust-Agder";"Menn";"8 år";802
"09 Aust-Agder";"Menn";"9 år";762
"09 Aust-Agder";"Menn";"10 år";759
"09 Aust-Agder";"Menn";"11 år";775
"09 Aust-Agder";"Menn";"12 år";754
"09 Aust-Agder";"Menn";"13 år";725
"09 Aust-Agder";"Menn";"14 år";691
"09 Aust-Agder";"Menn";"15 år";711
"09 Aust-Agder";"Menn";"16 år";784
"09 Aust-Agder";"Menn";"17 år";862
"09 Aust-Agder";"Menn";"18 år";868
"09 Aust-Agder";"Kvinner";"0 år";551
"09 Aust-Agder";"Kvinner";"1 år";605
"09 Aust-Agder";"Kvinner";"2 år";636
"09 Aust-Agder";"Kvinner";"3 år";622
"09 Aust-Agder";"Kvinner";"4 år";678
"09 Aust-Agder";"Kvinner";"5 år";706
"09 Aust-Agder";"Kvinner";"6 år";732
"09 Aust-Agder";"Kvinner";"7 år";737
"09 Aust-Agder";"Kvinner";"8 år";766
"09 Aust-Agder";"Kvinner";"9 år";780
"09 Aust-Agder";"Kvinner";"10 år";754
"09 Aust-Agder";"Kvinner";"11 år";776
"09 Aust-Agder";"Kvinner";"12 år";684
"09 Aust-Agder";"Kvinner";"13 år";731
"09 Aust-Agder";"Kvinner";"14 år";696
"09 Aust-Agder";"Kvinner";"15 år";680
"09 Aust-Agder";"Kvinner";"16 år";674
"09 Aust-Agder";"Kvinner";"17 år";711
"09 Aust-Agder";"Kvinner";"18 år";759
"10 Vest-Agder";"Menn";"0 år";1099
"10 Vest-Agder";"Menn";"1 år";1151
"10 Vest-Agder";"Menn";"2 år";1145
"10 Vest-Agder";"Menn";"3 år";1107
"10 Vest-Agder";"Menn";"4 år";1214
"10 Vest-Agder";"Menn";"5 år";1314
"10 Vest-Agder";"Menn";"6 år";1229
"10 Vest-Agder";"Menn";"7 år";1219
"10 Vest-Agder";"Menn";"8 år";1328
"10 Vest-Agder";"Menn";"9 år";1291
"10 Vest-Agder";"Menn";"10 år";1220
"10 Vest-Agder";"Menn";"11 år";1232
"10 Vest-Agder";"Menn";"12 år";1164
"10 Vest-Agder";"Menn";"13 år";1214
"10 Vest-Agder";"Menn";"14 år";1114
"10 Vest-Agder";"Menn";"15 år";1165
"10 Vest-Agder";"Menn";"16 år";1252
"10 Vest-Agder";"Menn";"17 år";1312
"10 Vest-Agder";"Menn";"18 år";1336
"10 Vest-Agder";"Kvinner";"0 år";952
"10 Vest-Agder";"Kvinner";"1 år";1064
"10 Vest-Agder";"Kvinner";"2 år";1095
"10 Vest-Agder";"Kvinner";"3 år";1056
"10 Vest-Agder";"Kvinner";"4 år";1093
"10 Vest-Agder";"Kvinner";"5 år";1125
"10 Vest-Agder";"Kvinner";"6 år";1183
"10 Vest-Agder";"Kvinner";"7 år";1199
"10 Vest-Agder";"Kvinner";"8 år";1276
"10 Vest-Agder";"Kvinner";"9 år";1203
"10 Vest-Agder";"Kvinner";"10 år";1184
"10 Vest-Agder";"Kvinner";"11 år";1227
"10 Vest-Agder";"Kvinner";"12 år";1153
"10 Vest-Agder";"Kvinner";"13 år";1094
"10 Vest-Agder";"Kvinner";"14 år";1130
"10 Vest-Agder";"Kvinner";"15 år";1149
"10 Vest-Agder";"Kvinner";"16 år";1181
"10 Vest-Agder";"Kvinner";"17 år";1162
"10 Vest-Agder";"Kvinner";"18 år";1266
"11 Rogaland";"Menn";"0 år";2996
"11 Rogaland";"Menn";"1 år";3169
"11 Rogaland";"Menn";"2 år";3192
"11 Rogaland";"Menn";"3 år";3164
"11 Rogaland";"Menn";"4 år";3196
"11 Rogaland";"Menn";"5 år";3311
"11 Rogaland";"Menn";"6 år";3314
"11 Rogaland";"Menn";"7 år";3523
"11 Rogaland";"Menn";"8 år";3432
"11 Rogaland";"Menn";"9 år";3342
"11 Rogaland";"Menn";"10 år";3164
"11 Rogaland";"Menn";"11 år";3300
"11 Rogaland";"Menn";"12 år";3050
"11 Rogaland";"Menn";"13 år";3081
"11 Rogaland";"Menn";"14 år";3057
"11 Rogaland";"Menn";"15 år";2903
"11 Rogaland";"Menn";"16 år";3089
"11 Rogaland";"Menn";"17 år";3255
"11 Rogaland";"Menn";"18 år";3313
